"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1,298.99","1,379.74","1,379.74","1,238.53","","-5.85%"
"02/01/2026","1,379.74","1,443.29","1,457.09","1,379.50","","-4.40%"
"01/01/2026","1,443.29","1,485.65","1,550.08","1,422.06","","-2.85%"
"12/01/2025","1,485.65","1,516.88","1,531.82","1,451.81","","-2.06%"
"11/01/2025","1,516.88","1,603.01","1,646.03","1,471.99","","-5.37%"
"10/01/2025","1,603.01","1,548.13","1,615.49","1,442.21","","3.55%"
"09/01/2025","1,548.13","1,642.46","1,660.20","1,496.02","","-5.85%"
"08/01/2025","1,644.27","1,615.00","1,669.54","1,595.99","","1.81%"
"07/01/2025","1,615.00","1,496.29","1,620.29","1,493.36","","7.93%"
"06/01/2025","1,496.29","1,465.56","1,555.37","1,423.49","","2.10%"
"05/01/2025","1,465.56","1,418.46","1,489.37","1,416.68","","3.32%"
"04/01/2025","1,418.46","1,446.08","1,462.51","1,298.25","","-1.91%"
"03/01/2025","1,446.08","1,360.81","1,460.82","1,315.09","","6.27%"
"02/01/2025","1,360.81","1,318.47","1,401.34","1,310.53","","3.21%"
"01/01/2025","1,318.47","1,193.02","1,335.86","1,192.19","","10.52%"
"12/01/2024","1,193.02","1,208.62","1,214.15","1,178.98","","-1.29%"
"11/01/2024","1,208.62","1,143.12","1,224.89","1,143.12","","5.73%"
"10/01/2024","1,143.12","1,162.09","1,166.30","1,110.65","","-1.63%"
"09/01/2024","1,162.09","1,130.28","1,174.59","1,120.05","","2.81%"
"08/01/2024","1,130.28","1,134.62","1,138.55","1,094.39","","-0.38%"
"07/01/2024","1,134.62","1,074.81","1,148.58","1,059.09","","5.57%"
"06/01/2024","1,074.81","1,072.92","1,088.53","1,046.33","","0.18%"
"05/01/2024","1,072.92","1,077.02","1,094.47","1,070.33","","-0.38%"
"04/01/2024","1,077.02","1,058.69","1,096.94","1,055.11","","1.73%"
"03/01/2024","1,058.69","1,061.76","1,073.25","1,044.02","","-0.29%"
"02/01/2024","1,061.76","1,014.39","1,072.52","1,008.36","","4.67%"
"01/01/2024","1,014.39","989.84","1,048.61","989.84","","2.48%"
"12/01/2023","989.84","964.26","1,004.29","957.54","","2.65%"
"11/01/2023","964.26","978.13","986.25","961.22","","-1.42%"
"10/01/2023","978.13","961.59","1,021.73","938.81","","1.72%"
"09/01/2023","961.59","966.77","969.36","945.25","","-0.54%"
"08/01/2023","966.77","982.50","994.76","958.00","","-1.60%"
"07/01/2023","982.50","934.99","982.55","928.29","","4.22%"
"06/01/2023","942.77","892.22","965.28","886.82","","5.55%"
"05/01/2023","893.16","848.13","896.69","831.77","","5.31%"
"04/01/2023","848.13","832.06","848.60","832.00","","1.93%"
"03/01/2023","832.06","874.86","880.69","824.35","","-4.89%"
"02/01/2023","874.86","825.61","876.60","818.06","","5.97%"
"01/01/2023","825.61","857.43","866.20","775.38","","-3.71%"
"12/01/2022","857.43","874.73","921.14","856.58","","-1.98%"
"11/01/2022","874.73","864.58","879.76","818.36","","1.17%"
"10/01/2022","864.58","937.34","953.97","855.84","","-7.76%"
"09/01/2022","937.34","981.48","990.96","931.78","","-4.50%"
"08/01/2022","981.48","954.65","992.27","952.51","","2.81%"
"07/01/2022","954.65","970.06","979.48","929.40","","-1.59%"
"06/01/2022","970.06","991.96","1,028.63","959.74","","-2.54%"
"05/01/2022","995.31","1,064.51","1,068.01","992.90","","-6.50%"
"04/01/2022","1,064.51","1,037.15","1,071.64","1,036.03","","2.64%"
"03/01/2022","1,037.15","1,055.71","1,067.31","993.63","","-1.76%"
"02/01/2022","1,055.71","1,131.96","1,142.56","1,038.91","","-6.74%"
"01/01/2022","1,131.96","1,085.71","1,132.43","1,078.40","","4.26%"
"12/01/2021","1,085.71","1,063.03","1,093.06","1,063.03","","2.13%"
"11/01/2021","1,063.03","1,104.79","1,114.77","1,059.88","","-3.78%"
"10/01/2021","1,104.79","1,081.33","1,113.08","1,064.84","","2.17%"
"09/01/2021","1,081.33","1,036.67","1,083.08","1,032.98","","4.31%"
"08/01/2021","1,036.67","1,005.11","1,046.11","1,005.11","","3.14%"
"07/01/2021","1,005.11","1,016.21","1,019.20","989.18","","-1.09%"
"06/01/2021","1,016.21","990.97","1,033.42","990.05","","2.55%"
"05/01/2021","990.97","961.01","1,002.19","961.00","","2.83%"
"04/01/2021","963.73","935.70","964.63","935.16","","3.00%"
"03/01/2021","935.70","926.27","945.41","921.07","","1.02%"
"02/01/2021","926.27","951.94","963.56","913.40","","-2.70%"
"01/01/2021","951.94","924.78","961.54","915.01","","2.94%"